top_unigrams,count
the,92919
a,52562
to,38655
of,33426
and,30940
in,18345
s,15422
her,13154
as,12648
with,11647
their,11342
that,10230
they,7825
she,7026
by,6981
is,6729
an,6410
for,5897
his,5514
on,4494
from,4142
who,4048
but,3669
must,3380
its,3325
into,3323
city,3147
he,2861
group,2850
discovers,2831
team,2829
between,2616
own,2610
are,2571
when,2535
ultimately,2453
world,2402
has,2309
it,2298
begins,2285
at,2266
named,2083
town,2015
hidden,1985
through,1983
where,1981
while,1959
young,1876
film,1867
them,1857
