top_trigrams,count
a series of,1593
the city s,1202
a group of,1134
leading to a,846
deeper into the,665
the fate of,551
in a remote,523
the film concludes,522
in the balance,518
in a climactic,515
in a dystopian,515
film concludes with,511
along the way,491
in the end,478
the corporation s,472
the consequences of,464
delves deeper into,453
a team of,439
to uncover the,438
the town s,433
the story concludes,430
the film ends,411
to confront the,402
the help of,397
must navigate the,387
embarks on a,385
stumbles upon a,381
decide whether to,365
in a small,362
discovers that the,360
the attention of,358
in a bustling,357
story concludes with,354
known as the,352
concludes with the,351
must confront the,350
to expose the,342
culminates in a,341
the story ends,326
in a tense,325
and the true,325
fate of the,323
with the help,318
in the aftermath,314
in a world,310
help of a,309
the team s,307
story ends with,306
hangs in the,306
film ends with,305
