top_bigrams,count
in a,7550
of the,6169
in the,5913
and the,4654
as the,4213
with the,3592
of a,2983
to the,2909
to a,2628
the city,2186
by a,1923
as they,1907
the film,1851
that the,1834
by the,1760
with a,1735
into the,1697
of their,1641
the team,1615
a young,1611
series of,1610
a series,1595
begins to,1516
of her,1506
group of,1502
on the,1478
and a,1359
the story,1354
city s,1216
on a,1194
leading to,1186
as a,1163
the group,1159
a group,1140
from the,1114
their own,1067
a hidden,1043
as she,1040
an ancient,1028
the truth,1004
discovers a,996
confront the,987
concludes with,982
the town,907
about the,874
the true,873
for the,866
a remote,862
a small,860
her own,859
